bm_protocol,bm_predicted_protocol,bm_order,bm_predicted_order,bm_comments,bm_predicted_comments,bm_score,index,ft_protocol,ft_predicted_protocol,ft_order,ft_predicted_order,ft_comments,ft_predicted_comments,ft_score
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,0,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,1,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,2,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,3,routine,renal stone,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],0.5
rcc,rcc,CT RCC protocol incl chest w MIPS and dual abd pel w wo,CT abdomen pelvis with contrast,[],['oral contrast'],0.8,4,rcc,rcc,CT RCC protocol incl chest w MIPS and dual abd pel w wo,CT RCC protocol incl chest w MIPS and dual abd pel w wo,[],[],1.0
gi bleed,GI bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],[''],0.3,5,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
routine,routine,CT pelvis with contrast,CT pelvis with contrast,[],[''],0.9,6,routine,routine,CT pelvis with contrast,CT pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,7,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,8,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis noncon,[],[],0.9,9,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,['split'],['oral contrast'],0.8,10,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,['split'],[],0.9
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis with contrast,['oral contrast'],['oral contrast'],0.9,11,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,['oral contrast'],['oral contrast'],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],['oral contrast'],0.9,12,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],[],0.9
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,13,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,14,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gu,routine,CT abdomen pelvis with and without contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.3,15,gu,rcc,CT abdomen pelvis with and without contrast,CT abdomen pelvis with contrast,[],[],0.4
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['oral contrast'],['oral contrast'],1.0,16,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['oral contrast'],['reroute coverage'],0.9
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,17,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,18,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,19,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,20,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast,[],[],0.4,21,routine,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,[],[],0.5
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,22,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,23,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,24,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,25,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,26,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.3,27,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
rcc,dual liver,CT RCC protocol incl chest w MIPS and dual abd pel w wo,CT chest with MIPS and CT abdomen pelvis with dual liver protocol,[],['reroute coverage'],0.3,28,rcc,rcc,CT RCC protocol incl chest w MIPS and dual abd pel w wo,CT RCC protocol incl chest w MIPS and dual abd pel w wo,[],[],1.0
gu,routine,CT abdomen pelvis with and without contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.3,29,gu,routine,CT abdomen pelvis with and without contrast,CT abdomen pelvis with contrast,[],[],0.4
noncon,crohns,CT abdomen pelvis without contrast,CT abdomen pelvis with oral contrast,['oral contrast'],['oral contrast'],0.4,30,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,['oral contrast'],['reroute contrast'],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,31,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,32,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,33,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
